Band Number,Mainland.or.Island,Retrap,Date,Wing,Tail,Tarsus,Weight,Ssp,,
02641219,Island,NA,06122016,64.5,49.5,20.3,14,Chlorocephalus,,
2746405,Island,NA,26042002,64.5,49,20.3,14,Chlorocephalus,,
2728296,Island,NA,25042022,63.5,48,20.3,14,Chlorocephalus,,
02710185,Island,NA,25062016,65,51,20.3,13.7,Chlorocephalus,,
2746471,Island,NA,24062022,65,51,20.3,13.5,Chlorocephalus,,
01A31599,Island,NA,10062012,64.5,48,20.28,12.5,Chlorocephalus,,
02672133,Island,NA,14062012,65.5,48.5,20.28,12,Chlorocephalus,,
01A31631,Island,NA,11062012,62.5,47,20.26,10.5,Chlorocephalus,,
01A31543,Island,NA,9062012,62,48,20.23,12.5,Chlorocephalus,,
2746640,Island,NA,20062023,65,50,20.2,18,Chlorocephalus,,
2746659,Island,NA,22062023,65,49,20.2,16,Chlorocephalus,,
2746515,Island,NA,16062023,64,49,20.2,16,Chlorocephalus,,
2746627,Island,NA,19062023,61,48,20.2,16,Chlorocephalus,,
2772533,Island,NA,22062024,63,49,20.2,15.6,Chlorocephalus,,
2772535,Island,NA,22062024,65,49,20.2,15.5,Chlorocephalus,,
01A31574,Island,NA,10062012,65,48,20.2,15.5,Chlorocephalus,,
2772637,Island,NA,26062024,62,NA,20.2,15.2,Chlorocephalus,,
02641236,Island,NA,5042019,62,47,20.2,15,Chlorocephalus,,
02727865,Island,NA,42921,64,47,20.2,14.8,Chlorocephalus,,
02656421,Island,NA,12062015,64.5,51,20.2,14,Chlorocephalus,,
2746433,Island,NA,21062022,63,48,20.2,14,Chlorocephalus,,
2728236,Island,NA,24042022,62,NA,20.2,13.5,Chlorocephalus,,
2728155,Island,NA,22042022,62.5,50.5,20.2,13.5,Chlorocephalus,,
02585622,Island,NA,4042019,63,50,20.2,13,Chlorocephalus,,
01A31638,Island,NA,12062012,64.5,49,20.16,14.5,Chlorocephalus,,
02672137,Island,NA,14062012,65,48,20.14,16,Chlorocephalus,,
01A31634,Island,NA,11062012,64,51.5,20.14,13.5,Chlorocephalus,,
01A31649,Island,NA,12062012,65,50,20.14,13,Chlorocephalus,,
01A31655,Island,NA,12062012,63,49,20.14,13,Chlorocephalus,,
01A31645,Island,NA,12062012,63,48,20.12,11,Chlorocephalus,,
2746484,Island,NA,25062022,64,48,20.1,16,Chlorocephalus,,
02641273,Island,NA,6042019,62.5,47,20.1,16,Chlorocephalus,,
2772683,Island,NA,2072024,64,49,20.1,15.8,Chlorocephalus,,
2746501,Island,NA,16062023,65,49,20.1,15.5,Chlorocephalus,,
2746688,Island,NA,25062023,64,50,20.1,15,Chlorocephalus,,
2746657,Island,NA,21062023,65,49,20.1,15,Chlorocephalus,,
02585614,Island,NA,4042019,63,49,20.1,15,Chlorocephalus,,
2746532,Island,NA,17062023,66,51,20.1,14.5,Chlorocephalus,,
