Chick ID ,band.n,nest,clutch.size,hatch.date,band.date,day,wing,tail,tarsus,post.cul.length,ant.cul.length,ant.cul.depth,ant.cul.width,digital weight,pin.length,feather.length,feather.total.length,feathered.ratio,Day of pin break ,Mainland or Island,,
R1,,16-26,,,,6,14.6,,12.5,,,,,6.5,,,,,,0,,
L1,,16-26,,,,4,5.9,,7.5,,,,,2.6,,,,,,0,,
R1,,16-26,,,,4,7.2,,8.8,,,,,3.9,,,,,,0,,
L1,,16-26,,,,2,3.8,,5.4,,,,,1.3,,,,,,0,,
R1,,16-26,,,,2,4,,5.7,,,,,1.7,,,,,,0,,
R2,,16-26,,,,2,5.1,,7.3,,,,,2.4,,,,,,0,,
R1,,16-27,,,,8,31,,17.4,,,,,10.2,,,,,,0,,
R1,,16-27,,,,6,21,,14.3,,,,,8.3,,,,,,0,,
R1,,16-27,,,,4,16.1,,13.5,,,,,7.4,,,,,,0,,
L1,,16-27,,,,2,5.9,,8,,,,,3.5,,,,,,0,,
R1,,16-27,,,,2,6.1,,7.8,,,,,3.6,,,,,,0,,
R2,,16-27,,,,2,4.6,,6.2,,,,,1.5,,,,,,0,,
R1,,16-28,,,,2,7.4,,9.6,,,,,4.5,,,,,,0,,
L1,,16-29,,,,8,31.2,,15.8,,,,,10,,,,,,0,,
R1,,16-29,,,,8,32.7,,16,,,,,10.4,,,,,,0,,
L1,,16-29,,,,6,13.2,,14,,,,,9.2,,,,,,0,,
R1,,16-29,,,,6,23.8,,13.4,,,,,8.3,,,,,,0,,
L1,,16-29,,,,4,12.3,,10.5,,,,,5.7,,,,,,0,,
R1,,16-29,,,,4,14,,11.2,,,,,6.3,,,,,,0,,
L1,,16-32,,,,8,31.8,,18.2,,,,,10.4,,,,,,0,,
R1,,16-32,,,,8,32.9,,17.6,,,,,10.4,,,,,,0,,
L1,,16-32,,,,6,21.1,,15.8,,,,,8.7,,,,,,0,,
R1,,16-32,,,,6,23.4,,15,,,,,8.7,,,,,,0,,
L1,,16-32,,,,4,12,,11.6,,,,,5.7,,,,,,0,,
R1,,16-32,,,,4,12.7,,11.5,,,,,6.1,,,,,,0,,
L1,,16-32,,,,2,5.8,,7.3,,,,,3.2,,,,,,0,,
R1,,16-32,,,,2,5.7,,7.4,,,,,3.3,,,,,,0,,
L1,,16-32-2,,,,8,30.2,,16.6,,,,,9,,,,,,0,,
L2,,16-32-2,,,,8,28,,15.6,,,,,6.8,,,,,,0,,
L1,,16-32-2,,,,6,22.8,,15.3,,,,,8.4,,,,,,0,,
L2,,16-32-2,,,,6,20.3,,14,,,,,6.4,,,,,,0,,
L1,,16-32-2,,,,4,13.5,,12.4,,,,,6.1,,,,,,0,,
L2,,16-32-2,,,,4,11.5,,11.1,,,,,4.9,,,,,,0,,
